Designator,MPN,QTY,DESCRIPTION,VALUE,Footprint,LCSC Part #
"C1,C2,C3,C4,C5",C0603C104K9R,5,"Ceramic capacitor, X7R",0.1uF / 50V (10%),SMD0603,C14663 
C8,CL10A106KP8NNNC,1,"Ceramic capacitor, X7R",10uF / 6.3V (10%),SMD0603,C19702
C9,CL10A475KO8NNNC,1,"Ceramic capacitor, X7R",4.7uF / 6.3V (10%),SMD0603,C19666
R2,0603WAF3300T5E,1,,330R 1/10W,SMD0603,C23138
"R3,R4",0603WAF4701T5E ,2,,4.7K 1/10W,SMD0603,C23162
"R5,R7",0603WAF1002T5E,2,,10K 1/10W,SMD0603,C25804
R6,0603WAF1800T5E,1,,180R 1/10W,SMD0603,C22828
"D1,D2,D3",SP3012-04UTG,3,TVS DIODE 5V 7V 10UDFN,,uDFN-10_1.0x2.5x0.5P,C2847056
U5,HDMI-201,1,CONN RCPT MINI HDMI 19POS SMD RA,,,C720618
"CONN1,CONN2",2-1734592-0,2,,,,C573703
U4,M25P40-VMN6PB,1,IC FLASH 4M SPI 75MHZ 8SOP,,,C19551125
SW1,EVQP7J01P,1,,,,C2828254
U6,IRM-V538M3/TR1,1,,,,C5142164
U1,XC3S200A-4VQG100C,1,IC FPGA 68 I/O 100VQFP,,,C1521645 
U3,TPS74012DGKR,,IC REG LINEAR 1.2V 1.5A 8MSOP,,,C2871413
